,company,title
100,Tesla,Business System Specialist – Timekeeping and Workforce Analysis
101,Positive Thinking Company,Business Analyst (m/w/d)
102,Positive Thinking Company,Business Analyst (M/W/D)
103,Investitionsbank Berlin,Businessanalyst:in (w/m/d)
104,Positive Thinking Company,Business Analyst (M/W/D)
105,TUI,Business Analyst Fokus Conversion Rate Optimierung (m/w/d)
106,Positive Thinking Company,Business Analyst (M/W/D)
107,Positive Thinking Company,Business Analyst (M/W/D)
108,Worldline,Growth Analyst (m/w/d)
109,KPMG Deutschland,Praktikum (w/m/d) Business Research & Analysis
110,WTS Karriere,Business Analyst (w/m/d) Finance Optimization
111,Positive Thinking Company,Business Analyst (M/W/D)
112,Vodafone,"Duales Studium B.A. BWL, mit Schwerpunkt Digital Innovation in Berlin (2023)"
113,Deutsche Bahn International,Business Analyst Stammdaten (w/m/d)
114,ADAC Service GmbH,Business Analyst - Digitaler Kreditprozess
115,T-Systems MMS,Consultant KI und Digitalisierung (m/w/d)
116,Positive Thinking Company,Business Analyst (M/W/D)
117,Scout24 Group,Business Analyst (d/w/m)
118,HeyJobs,Deutsche Bahn AG: Business Analyst Digitalisierung (w/m/d)
119,KPMG Law,Business Analyst (m/w/d) Legal Process & Technology
120,mamgo,Business Analyst für Customer Experience (gn)
121,]init[ - Services for the eSociety,Business Analyst (m/w/d)
122,]init[ - Services for the eSociety,Business Analyst (m/w/d)
123,HeyJobs,Deutsche Bahn AG: Business Analyst:in Stammdaten
124,mgm technology partners GmbH,Anwendungsmodellierer / Business Analyst (m/w/d)
125,Deutsche Bank,Counterparty Credit Risk Change – Business Analyst (m/f/x)
126,diffferent,Business Designer (all genders)
127,WTS Karriere,"Business Analyst (w/m/d) Governance, Risk & Compliance"
128,mgm technology partners GmbH,Business Analyst (m/w/d)
129,WTS Karriere,Business Analyst (w/m/d) Controlling & Planning
130,Conwiss Consulting GmbH,Business Analyst - Anforderungsmanagement / Konzeption / ITIL / EPK (m/w/d)
131,mgm technology partners GmbH,Business Analyst / Anwendungsmodellierer als Quereinsteiger aus den Naturwissenschaften (m/w/d)
132,Hive,Business Analyst - Packaging (f/m/d)
133,Odoo,Business Analyst
134,ADAC Service GmbH,Business Analyst - Digitaler Kreditprozess
135,ARREBA Consulting GmbH,"Business Analyst Financial Services (m/w/d) Quereinstieg mit Berufserfahrung Bank Projektstandorte München, Hamburg, Berlin, Frankfurt"
136,HH2E,Business Analyst (all genders)
137,ADAC Service GmbH,Business Analyst Betrugsmanagementsystem
138,agex IT GmbH,Agiler Business Analyst (w/m/d) für Berlin gesucht! Ref.Nr. 3137
139,DWS Group,AFC & Compliance Analyst: Marketing Review Group (m/f/d)
140,TUI,Business Analyst (m/f/d)
141,mgm technology partners GmbH,Business Analyst als Quereinsteiger aus den Naturwissenschaften (m/w/d)
142,Deloitte,Business Analyst / Consultant Strategieberatung - Monitor Deloitte (m/w/d)
143,Babbel,Senior Technical Marketing Engineer (all genders)
144,BridgingIT GmbH,Business Analyst (w|m|d)
145,Murrelektronik,UI/UX-Designer (m/w/d) App- / Programmoberfläche im Bereich Digital Business
146,DKB | Deutsche Kreditbank AG,Business Analyst Betrugsmanagementsystem (m/w/d)
147,NEW YORKER,BUSINESS ANALYST* GESCHÄFTSPROZESSE UND -ANWENDUNGEN
148,Agoda,"Analyst, Marketing Innovation (Bangkok Based, relocation provided)"
149,Deutsche Bahn International,Business Analyst für die Digitalisierung im Baumanagement (w/m/d)
150,msg GillardonBSM AG,Business Analyst / Banking (m/w/d)
151,SIXT,Business Analyst (m/w/d)
152,BearingPoint,Business Analyst Strategy & Digital Transformation | Energiewirtschaft (m/w/d) in Berlin
153,Deutsche Bahn,Business Analyst:in Sprintstarter-Programm
154,mgm technology partners GmbH,Naturwissenschaftler als Business Analyst (m/w/d)
155,PAMEC PAPP GmbH,Business Analyst für Customer Experience (gn)
156,Deloitte,Business Analyst / Consultant Digital Transformation ServiceNow (m/w/d)
157,Babbel,Senior Technical Marketing Engineer (all genders)
158,Deefinity Digital Consulting GmbH,Agile Business Analyst / Projekt Management / PMO (m/w/d)
159,SIGNA Sports United,Business Analyst/ Demand Manager Finance ERP (m/f/d)
160,Agoda,"Analyst or Senior Analyst (SOAP) (Bangkok-based role, Relocation provided)"
161,METRO AG,Domain Expert (Business Analyst) - Digital Asset Management
162,WTS Karriere,Business Analyst (w/m/d) Financial Services
163,Amadeus FiRe,Business Analyst (m/w/d)
164,Agoda,"Brand Media Analyst or Senior Analyst, Marketing (Bangkok Based, relocation provided)"
165,Digital Charging Solutions,Business Analyst (f/m/d) - BER/MUC
166,KPMG Deutschland,"Praktikum / Werkstudent (w/m/d) für die Leitung - Marketing, Sales und Business Analytics"
167,WTS Karriere,Business Analyst (w/m/d) Transaction Advisory
168,jSERVICE,"Prozessentwickler (m/w/d) Banking - Business Analysis, Projektmanagement, Ingenieur"
